بسم الله الرحمن الرحیم	لـلٔريلقيلم
مسألة	مسالةه
قال علماؤنا رحمهم الله المبتوتة لها النفقة والسكنى ما دامت فی العدة حاملا	قال علأنارحهمافل البترونة لا النعقة والسكى ما دامت ف الدة حدالا
كانت أو حائلا وهذا مذهبنا . والمبتوتة هی المطلقة بائناً أو على مال أو ثلاثا	ت أوعهلا وعنا مدعبا . والبنرة مى الطقةباتً أو على سل أ تلاتا
قلت فتحرر لنا من هذا أن ظاهر الرواية اذا أوفاها مهرها نقلهـا الى حيث شاء	قلت فتحر لا من هذدأن ظلهر الرواية اذا أوفاها مب بها تقلهـا الى حيث شا
من البلاد وله أن يسافر بها الى حيث أحب. والمراد من المهر المعجلالذىتعارفوا	من البلا وله أن يسافر بها الى حيث أحب. والراد من المر المجل الذى تعارفوا
تعجيله وقيل المؤجـل أيضاً . فأما منع السفر بها وان أوفاها مهرها فهو قول	مجيله وقيل الوجل أينً . فأامنع الفر بها وانأوفاها مبرها فو قول
أبى القاسم الصفار واختيار أبی الليث وجماعة من المشايخ وهـو ليس برواية عن	أبی القام الصفار واختيار أبي اليث وجاعة ن المشيخ وهو لي برواية عن
الاصحاب . يدل عليه قول الولوالجى هذا كان فی زمانهم	الاصحاب . يدل عليه قول الولوابٕى هذا كان في زماهم
امافى زماننا  فلا يملك الزوج أن يسافر بها وان أوفاها صـداقها فيشـير	الماف زمانا فلا بلك الزوج أن يسافر به ا وان أوفاها صداقها فيشير
الى أنه اختلاف عصر وزمان كما قالوا فى مسألة الاستئجار على الطاعات . وقـد	الى أنه انختلاف عصر وزمان كا الراف سأة الاستشجار على الطاعت . وقد
44	اه.
فان استدانت بأ مر القاضى كان لها أن ترجع علىالزوج بذلك لأ ن استدانتها بأمر	فان الستدانت أر القاضى كان لما أن ترجع على الزوج بدلك لأن التداتنهأمر
بمعصية  أو بغير معصية . وان كانت الفرقة من جهتها ان كانت بحق فلها  النفقة	بعصية أو بغير معصية . وان كانت الفوقة من جنمها ان كانت بجق فلها النفقة
وأن كانت بمعصية فلا نفقة لها . وان كانت الفرقة بمعنى منجهة غيرها فلها النفقة.	وأن كانت بعصية فلا نفقة لها . وان كانت الفزرقة بهعنى من جهة غيرها فلها النفقة.
فأذا عرفنا هذا فنقول الملاعنة لها النفقة والسكنى لأ ن الفرقة باللعان فرقة بطلاق	فاذا عرفنا هذا فقول الاعنة لها النقة واسمكنى فأن الفرفة بان فرقة بلات
فكانت من قبـل الزوج و كذلك المبانة بالخلع والايلاء وردة الزوج ومجامعة أمها	ا مكانت من تبسل الزوج و كذلاك البانة بنلع والايلاء وردة الزوج وجاعة أما
تستحق النفقة فی هـذه الوجوه لأ نهـا فرقة من قبل الزوج . وامرأة العنين اذا	تستحق النفقة ف هذده اوجوه لأنهـا فرقة من قبل الزوج . وامرأة العنين الذا
اختارت الفرقة فلها النفقة والسكنى وكذلك المدبرة وأم الولد اذا أعتقتا و هما عند	اختارت الفرقة فالا النفقة والمكنى وكذاك المدبرة وأم اولد اذا أعتقتاوهما عتد
زوج قد بوأهما بيتاً فلهما النفقةوالسكنى . وكذلك الصغيرة اذا أدركت واختارت	زوج قد بوأها يناً لها انفقوالكنى. وكذلك الصعيرة اذأدركت واخنرت
نفسها . وان جاءت الفرقة من قبل المرأة فى هذه لأ نها ما جاءت بمعصية و كذلك	نفسها . وان جاءت الفرقة من قبل المرأة فى هذه لأنما ماجاءت بمصية و كذلك
اذا وقعت الفرقة بسبب عـدم الكفاءة بعد الدخول فلها النفقة . والمنكوحة اذا	اذا وقت الفرة ببب عـدم الكفاءة بهد الدنرل فلها النفقة . والمنكوحة الذا
ارتدت أو طاوعت ابن الزوج حتى وقعت الفرقة لا نفقة لهافلو اسلمت والعدة باقية	اردت أو طاوعت ابن الزوج حى وقعت الفرقة لانفقة لانلو اسلت والعدة باقية
القاضى بمنزلة استدانة الزوج بنفسه . وأما اذا استدانت بغـير أمر القاضى أو لم	لقانى بنزة امتدانة الزوج بنفه .ؤا اذا التدانت بفسينر أر القفهى أه لم
لاتستحق النفقة . ولو نشزت فطلقها ثم تركت النشوز فلها النفقة مادامت العدة	لانستحق النفقة . ولو شرزت نلقا نم تركت الشوز فلها النفقة ماوامت المدة
باقية . والمختلعة تستحق النفقة اذا وقع  الخلع مطلقا فاما  اذا شرط فى الخلع أن	باقية . والختلة تتحت النفقة اذا وقع الخلع ،طلقافاما اذا شرط ف انلع أن
لاسكنى لها ولا  نفقة فلها السكنى ولا نفقة لهـا . فلو شرط الزوج فی الخلع ألا	لاكى لاولا نقة نلها السكفى ولا فقة لفا . فلو شرط لزوج فى الجلع الا
تكون عليه مؤونة السكنى ورضيت المرأة أن تسکن فی بيت نفسها أو تلتزم بمؤونة	تكن علي وهة الكنفى ورفيت اراةان نسكن ف يت نفدا ٔوناتنمبونة
السكنى من مالها فان كانا  يسكنان فی بيت بكراء صحوتجب الأجرة عليها . واذا	اللو ير يلاتد ما: بكد د يت بكاسي ج بلا ء هبا.انا
تستدن أصلا هل ترجع على الزوح بذلك أم لا ؟ قال شمس الأ ئمة  الحلوانی فيه	تستدن أصلا عل ترجع على ازوح بدك أم لا ؟ قل شس الأئة الملوافى نيه
كلام وقال الشيخ الأجل الشهيدعندى أنها لا تسقط . وأشار السرخسىأنها تسقط	لام وقل اشيخ الأجبل اش يدعندى أنالاتسقهد.وأشارالسرخىأ اتسقا
وهو الصحيح.	وهو الصحيه
وان لم يکن للزوج منزل مملوك يكترى منزلا لها ويكون الكراء على الزوج	وان لم يكن لزوج منزل ملولك يكترى هنزلا لها وبكن الكراء، على الو
وان كان معسرا تؤمر المرأة أن تستدين الكراء وتوفى ثم ترجع على الزوج اذا	وان كان معرا تؤمرب المراًة أن تستدين الكراء وتوفى نم ترجع عل الز ورج الذا
أیسر كما هو الحكم فیالنفقة حال قيام النكاح :- ثم الاصل أن الفرقة متى وقعت	أسر ما هو الهيكم فالنفقة عال قيم النكناح :ر م اسل أن الفرفة منى وتت
بین  الزوجين ينظر ان كانت الفرقة من جهة الزوج فلها النفقة سواء  كانت	بن الزوجين ينظر ان ححانت الفرقة من جهة الز وج لها النفقة سوا كانت
صالح الرجل عن نفقتها مادامت معتدة على دراهم مسماة لايزيدها عليها حتى	مالح الرجل عن فقتها ادلمت متدة على درالم مسباة لابزيدها عليا خ
تنقضى عدتها ينظر ان كان عـدتها بالحيض لايجوز الصلح وان  كانت بالأ شهر	تقضى عدنها ينظر ان كان عدتما بالحيض لا يجوز الصلح وان كانت بالا شبر
أو ولد أم الولد فعليه المهر والنفقة لزوجته سواء كانت الزوجة حرة أو مملوكة فان	أو ولد أم الولد فعليه المر والنقة لزوجته سواء كانت الزوجة حرة أو ملوكهة فان
كان الزوج عبـداً يباع فى ذلك الا أن يقضى السيد . وأما المكاتب والمدبر	كان الزوج عبداً يباع ف ذلك الا أن يقفى السيد . وأها المكا:ب والدب
وولد أم الولد فلا يباعون فی ذلك بل يسعون فيما وجبعليهم . وعن أبى يوسف	ولد أم الولد فلا باعون ف ذلك بل يسعون فبا وجبعليهم . وعن أبي يوسف
المعتدة عن طلاق بائن أو رجعى اذا تزوجت ودخل بهـا ثم فرق بينهما فلا نفقة	المتدة صى طادق بأن أو رجى اذاتزوجت ودخل بهانم فرق بينحا فلا نفقة
لهـا لأ نها تزوجت فی عدة  الغير ودخل بها الزوج الثانى فعلى الأول نفقتها فی	لـا لأنهانزوجت في عدة الغير ودخل با الزوج النالى فعلى الأول نفقتما ف
الطلاق البائن بخلاف الرجعى لأ ن نكاحها قائم فقـد فوتت على الزوج الا ول	الطلاق البأن بخلاف الرجى لأن نكاما قا م فقد فوتت على الزوج الا ول
بالزوج الثانى منافع البضع فصارت ناشزة فسقطت نفقتها . واذا اختلعت على نفقة	بالزوج الثٔلى منافع البضع فصارت ناشزة فسقطت نفقها. والذا اختلعت على نفقة
العدة والسكنی تسقط نفقة العدة ويكون لهـا السكنى . رجل كفل للمنكوحة عن	العدة والسكنى تسقط نفقة العدة ويكون ما الكذى . رجل كفل لمنكو حة عن
زوجها بالنفقة كل شهر بكذا ثم طلقها زوجها كان للمرأة أنتطالب الكفيل بالنفقة	زوجهابلنفقة كل شهر بكذا م طلقها زوجها كان لمرأة أن تطالب الكفيل بالنفقة
لأ ن نفقة العـدة بمنزلة نفقة النكاح . فرض لها القاضى نفقة العـدة فلم تأخذ حتى	لأن نفقة العردة بنزة فقة النكاح. فرض لها القافى فقة العدة نلم أخد خى
جاز . ولو طلقها بائنا أو خالعها ثم صالحها من السكنى على دراهمفان هذا لا يجوز .	جز. ولو طلق ا بأنا أو خاما نم صالحها من المكى على درام فن هذ ا لابجوز.
ماتأحدهما سقطت وان لم يمت احدهما وانقضت العدة اختلفوا فيه قال الحلوانی	ملت أحدها سقطت وان لم يت احدها واقضت الهدة انتلهنا فيه قال الوانى
تسقط . اذا حبست المعتـدة بحق عليها تسقط النفقة كالمنكوحة . تزوج بمنكوحة	تسقط. الذا حبست المعتدة بحق عليها تسقط النفقة كالنكروحة . تزوج بتنكوحة
الغـير ودخـل بها فان كان لايعلم أنها منكوحة الغـير  كان علیها العدة ولا نفقة	اديير ودخل بها فان كلن لايلم أنبا منكرحةانسبر كلن علبها العدة ولا فقة
لهـا وان كان يعـلم أنها منكوحة الغـير لاعدة عليها . وفی النكاح بغير شهود	ها وان كان يملم انها منكوحة الريرلاعدة علها . وف انكاح بفير شبود
ولو قال الرجل  كنت طلقتها منذ سـنة وانقضت عدتها وجحدت المرأة الطلاق	ولو قال الرجل كنت طلقتما منذ سنة وانقضت عدتها وجحدت المرأة اللاق
لا يقبل قوله فان شهد شاهدان بذلك أو أقرت أنها قد حاضت ثلاث حيض فی	لا يقبل قوله فان شهد شاهدان بذلك أو أقرت أنها قد حاضت ثلاث حيض ف
هذه السنة فلا  نفقة لهـا عليه . فان كانت أخذت منه شيئاً ردت عليه . ولو أن	هذدهالسنة فلا نفقة لا عليه. فان كانت أنخذت منه شيناًردت عليه . ولو أن
مستأمناً أو ذميا تزوج ذمية فى ديارنا ودخل بها وطلقها فلها النفقة فى قول من	مسنٔمناًأو ذميا تروج ذنمية ف ديلرنا ودخل بها وطلقا فلها النفقة ف قول من
يوجب على الذمية العدة . ولو أرسل اليها بالنفقة رسولا فقال الرسول قد أعطيتها	بوجب على الذية العة . ولو أرسل اليها بالنفقة رسولا فقال الرسول قد أعطيما
اياها وجحدت هى  كانالقولقولها مع يمينها . ولو قالالزوح أعطيتها نفقتهاوانكرت	اياها وجحدت هی كالنالقولقوها ، ع يها . ولو قلازوح أءولنبا نفقت اوانكرت
هی الاستيفاء كان القول قولها مع يمينها . واذا كان الزوجعبدا أو مدبرا أومكاتباً	هى الاسنيفا، كلن القول قولها مع ينها .واذا كن الزوج عبدأو مدبرا أومكاتباً
تأليف	قاليف
العارف بالله الشيخ	العارف بالهالشيخ
عبد الغني بن إسماعيل النابلسي	عبد الفني بن احماعيلى النابلسي
1050 - 1143هـ	"، 1 -142 ام
الحمد لله رب العالمين وأفضل الصلاة وأتم التسليم على سيدنا محمد	الحمد له رب العالمين وأفضل الصلاة وأتم التسليم على سيدنا محمد
الصادق الوعد الأمين وعلى آله وأصحابه إلى يوم الدين.	الصادق الوعد الأمين وعلى اله وأصحابه الى يوم الدين.
والخلاف قديم في حله وحرمته، وكرهه وإباحته؛ لأن شره لم يتضح،	والخلاف قديم في حله وحر مته، وكرهه واباحته، لأن شره لم يتضح،
وضرره لم يتبين، كان هناك شكٌ وظنٌ وترجيح، ولكن وقد أشرقت حقيقة	وضره لم يتيتن، كان هنالك شلك وظن وترجيح، ولكن وقد أشرقت حقيقة
- 5/ م -	5م
وبعد.	وبعدن
فليس يصح في الأفهام شيء   إذا احتـاج النهـار إلى دليـل	نليس يصح في الأفهام شيء  إذاحتـاج النهار الى دليل
من أصعب الأشياء أن يجد المرء نفسه مدافعًا عن حقٍ أبلج، أو مبرهنًا على	من أصعب الاشياء ان يجد المرة نفسه مدافعا عن حتق ابلج أو مبرهنا على
خطأ معوج أعرج.	خحطا معوج أعرج.
الدخان وما أدراك ما الدخان، سم ذعاف، وداء عضال، مهلكة ورجس،	الدخحان وما أدرالك ما الدخحان، سم ذعاف، وداء عضال، مهلكة ورجس،
ونجاسة وتعاسة، وقتل نفس، إنه عملٌ غير صالح قام بنشره شياطين الإنس	ونجاسة وتعاسة، وقتل نفس، إنه عمل غير صالح قام بنشره شياطين الانس
والجان، فتهافت عليه كل متهتك أحمق عقله ضارع الصبيان أو سفيه أضاع المال	واجان، فتهافت عليه كل متهتك أمق عقله ضارع الصبيان أو سفيه أضصاع المال
والعقل والجنان	والعقل والحان
حرمته، وغابت شبهة حلته، فمن نافلة القول أن يحذر الإنسان من ضرره،	مته، وغابت شبهة حلنته، فمن نافلة القول أن يذر الانسان من ضرره،
و يخوف من سوء مآله وخطره، ألم تقرأ يا رعاك الله التحذير الصحي، ونصيحة	ويخوف من سوء ماله وخحطره، أم تقرأيا رعالك الله التحلير الصحي، ونصيحة
التدخين السلبي - استنشاق هواء ملوث بالدخان ‏- أو اللاإرادي يمثل خطرًا	التدخحين السلبي  استنشاق هواء ملوث بالدخحان أو الارادي يمثل خطرا
جسيمًا على الصحة فهناك أربعة آلاف مادة كيماوية في دخان التبغ منها خمسون	جسيتا على الصحة فهنالك أربعة الاف مادة كياوية في دخان التبغ منها ضسون
مادة معروف عنها أنها مسببة للسرطان، مما يؤدي إلى إصابة الآخرين ‏- الأطفال	مادة معروف عنها أنها مسبة لمسر طان، ما يؤدي الى اصابة الأخحرين  الأطفال
خصوصًا - بالأمراض القلبية والوعائية وكثير من أمراض الجهاز التنفسي، وقد	خحصوصا : بالامراض القلبية والوعائية وكشير من أمراض الجهاز التنفسي وقد
قدرت وفيات العاملين جراء التعرض لدخان التبغ السلبي في أماكن العمل	قدرت وفيات العاملين جراءه التعرض لدخحان التبيغ السلي في أماكن العمل
بمئتي ألف عامل سنويًا بسبب التدخين غير المباشر، وفي أمريكا ثلاثة آلاف	بمتي ألف عامل سنويا بسبب التدخحين غير المباشر، وفي أمريكا ثلاثة الاف
وفاة سنويًا من جراء سرطان الرئة بين غير المدخنين، فضلاً عن تفاقم حالة	وفاة سنويا من جراء سرطان الرتة بين غير المدخحنين، فضلاً عن تفاقم حالة
مليون طفل مصاب بالربو بسبب التدخين السلبي.	مليون طفل مصاب بالربو بسبب التدخحين السلبي.
الحكومة على علبه تقول: تحذير: الدخان سبب رئيسي للسرطان وأمراض	الحكومة على علبه تقول: تحذير: الدخحان سبب رشيسي السر طان وامراض
القلب والشرايين ويضر بالحامل والجنين.	القلب والشراين ويضر بالحامل والجنين.
وهناك إجماع الآن من الدولة المنتجة له، المروجة لاستهلاكه على حرمة	وهناك الجماع الان من الدولة المتجة له، المروجة لاستهلاكه على حرمة
تداوله في جميع الأماكن العامة والمسقوفة والمغلقة والمشتركة؛ بل في أماكن	تداوله في جميع الأماكن العامة والمسقوفة والمغلقة والمشتركة بل في اماكن
التسلية والترويح والنقل. وبالأمس القريب (2009/8/26) ذكرت وكالات	التسلية والترويح والنقل. وبالأمس القريب ل76ا " / 9 ، ، 7) ذكرت وكالات
الأنباء العالمية عن خبراء الصحة أن التدخين سيقتل ستة ملايين شخص خلال	الانباء الحالية عن خحبراء الصحة أن التدخحين سيقتل ستة ملاين شخص خحلال
العام القادم (2010) بأمراض مختلفة.	العام القادم (، 1 ،27) بأمراض مختلفة.
والأدهى من هذا، وتبيانًا لأمره وتوابع أضراره ومستلزمات ظله فإں	والادهى من هذا، وتبيانا لأمره وتوايع أضراره ومستلزمات ظله فاد
2 الرسالة لم تكن وليدة تأملات وفكر؛ بل نتيجة تجارب واستخلاص 	7االرسالة لم تكن وليدة تأملات وفكر؟ بل نتيجة جارب واستخلاصـ:
نتائج من شعوب شربت الدخان، وتداوت به، فوجدته البلسم الشافي	نتائج من شعوب شربت الدخحان، وتداوت به، فوجدته البلسم الشافي
- ينفع من غلظ الرقبة ووجعها.	ينفع من عغلظط الرقبة ووجعها.
يشفي من أمراض الصدر المزمنة	يشفي من أمراض الصدر المزرمنة
ينفع من أوجاع الكلى والقولنج الريحي	ينفع من اوجاع الكلى والقولنج الريجي
ينفع من أمراض الرحم.	يفع من أمراض الرحم.
ينفع من التخمة التي تعرض للصبيان.	ينفع من التخمة التي تعرض لصبيال.
- ينفع من الديدان وحب القرع.	ينفع من الديدان وحب القر.
- ينفع من أوجاع المفاصل.	ينفع من أوجاع المفاصل.
- يحلل الانتفاخات والأورام الباردة على أي موضع كان.	يحل الانتفاخات والاورام الباردة على أي موضع كان
12/م	12م
لما تعاني من أمراض، فهو	لا تعاني من أمراض، فهو
من الأدوية القديمة المستعملة في بلاد الهند الجديد، وهو الدواء الناجع	من الادوية القديمة المستعملة في بلاد المند الجديد وهو الدواء الناجع
الباري؛ لذا بقي هذا العلاج سرًا مستورًا محفوظًا بينهم	الباري لذا بقي هذا العلاج سرا مستورا محفوظطا بينهم
- منشط فكري يجفف الرطوبة من الدماغ ويزيل البلادة والكسل ويزيد	منشط فكري يجف الرطوبة من الدماغ ويزيل البلادة والكسل ويزيد
في القوة الحافظة	ف القوة الحافظة
يدمل الجراحات الطرية وينقي الوسخ من القروح الخبيثة ويسكن	يدمل اجراحات الطرية ويقي الوسخ من القروح الحخبيثة وسكن
الأوجاع الريحية والبلغمية ويجود الهضم.	الأوجاع الريجية والبلغمية ويجود الضم.
- ينفع من الصداع البارد خصوصًا من الشقيقة.	تينفع من الصداع البارد خصوصا من الشقيقة.
الفتال، والشيخ عبد القادر بن مصطفى الصفوري الشافعي، والسيد محمد بن	المتال، والشيخ عبد القادر بن مصطفى الصفوري الشافعي، والسيد عحمد بن
كمال الدين الحسيني الحسني بن حمزة، نقيب الأشراف بدمشق، والشيخ محمد	كال الدين الحسيني اخحسني بن مزة نقيب الأشراف بدمشتق، والشيخ محمد
الصوفية، كابن سبعين، والعفيف التلمساني، فعادت عليه بركة أنفاسهم، فأتاه	الصوفية ، كابن سبعين، والعفيف التلمساني، فعادت عليه بركة انفاسهم، فاتاه
الفتح اللدني	الفتح الدن
نظم بديعيةً في مدح النبي  سماها: "نفحات الأزهار على نسمات	نظم بديعية في مدح النبي ه ساها: انفحات الأزهار على نسات
الأسحار في مدح النبي المختار"، فاستبعد بعض المنكرين أن تكون من نظمه،	الأسحار في مدح الني المختارا، فاستبعد بعض المنكرين أن تكون من نظمه،
(1) لصيق الجامع الأموي من الشمال الغربي، بناها السلطان نور الدين الشهيد سنة 555هـ،	(1) لصيق الجامع الأموي من الشال الغري بناها السلطان نور الدين الشهيد سنة *هدمى
ولا أثر لها اليوم. الخطط 158	ولأر لها اليوم الحخطط/دا
- 20/م -	-27 م
فاقترح عليه أن يشرحها، فشرحها في مدة شهرٍ شرحًا لطيفًا في مجلد(1).	فاقترح عليه أن يشر حهاء فشرحها في مذة شهر شرحالطيفافي جلدا.
العيثاوي، والشيخ حسين بن إسكندر الرومي نزيل مدرسة الكلاسة(1) بدمشق،	العيشاويء والشيخ حسين بن اسكندر الرومي نزريل مدرسة الكلاسة ا بدمشتق،
والشيخ كمال الدين العرضي الحلبي الأصل الدمشقي، والشيخ محمد ابن	والشيخ كمال الدين العرضي الحلبي الاصل الدمشقي، والشيخ حمد ابن
بركات الكوفي الحمصي ثم الدمشقي وغيرهم.	بركات الكوفي احمصي ثم الدمشقي وغيرهم.
وأجاز له من مصر الشيخ علي الشبراملسي، وأخذ طريق القادرية عن	وأجاز له من مصر الشيخح علي الشبراملسي، وأخذ طريق القادرية عن
الشيخ السيد عبد الرزاق الحموي الكيلاني، وأخذ طريق النقشبندية عن الشيخ	الشيخ السيد عبد الرزاق الحموي الكيلاني، وأخحد طريق النقشبندية عن الشيخ
سعيد البلخي	سعيد البلخي
وابتدأ في قراءة الدروس وإلقائها والتصنيف لما بلغ عشرين عامًا، وأدمن	وابتداًفي قراءهة الدروس والقاتها والتصنيف لما بلع عشرين عاقاء وأدمن
المطالعة في كتب الشيخ محيي الدين بن العربي قدس الله سره، وكتب السادة	المطالعة في كتب الشيخ محسي الذين بن العربي قدم اله سره، وكتب السادة
أربعين يومًا، وصنف فيها رحلةً صغيرةً، ولم تشتهر.	أربعن يوما، وصنق فيها رحلة صغرة، ولم تشتهر.
وانتقل من دمشق من دار أسلافه إلى صالحيتها في ابتداء سنة تسع عشرة ومئة	وانتقل من دمشق من دار أسلافه الى صالحيتها في ابتداء سنة تسع عشرة ومثة
العارف التي يطمح إليها كل من سلك طريق التصوف.	العارف التي يطمح اليها كال من سلك طريق التصوف.
وأهم ما في ذلك هو الشعبية والشهرة التي اكتسبتها هذه المؤلفات، فإن	واهم ما في ذلك هو الشعبية والشهرة التي اكتسبتها هذه المولفات، فإن
كثيرًا من مؤلفاته موزعٌ في مكتبات العالم من برنستون في أمريكا، إلى باريس،	كشيرا من مولفاته موزرع في مكتبات العام من برنستون في أمريكا الى باريس،
وبرلين، وسراييفو إلى استنبول، ودمشق، وإن بعضها يصل عدد نسخه الخطية	وبرلين، وسرايغو إلى استنبول، ودمشق، وان بعضها يصل عدد نسخه الحخطية
-24/م	-24م
إلى عشرين نسخة، مما يدل على رواجها على مدى ثلاثة قرون	إلى عشرين نسخة ما يدل على رواجها على مدى ثلأة قرون
ونظمه لا يحصى لكثرته وتآليفه ومصنفاته كثيرة، وكلها حسنة متداولة	ونظمه لا يجصى لكشرته وتاليفه ومصنفاته كثيرة، وكلها حسنة متداولة
وألف (1119هـ)، إلى دارهم المعروفة بهم الآن إلى أن مات بها	وألف (4 1 1ا اها، إل دارهم المعروفة بهم الالن الى ألن مات ها
تجاوز عدد مؤلفات الشيخ عبد الغني الثلاثمئة ما بين كتاب ورسالة	تجاوز عدد مولفات الشيخ عبد الفني الثلائمتة ما بين كتاب ورسالة
وشروح ودواوين شعر ورحلات. وقد كتب خاصة في التصوف والفقه والحديث	وشروح ودواوين شعر ورحلات . وقد كت خاصة في التصوف والفقه واحديث
والتفسير، ولكنه تناول كذلك موضوعات مختلفة مثل تفسير الأحلام والفلاحة،	والتفسير، ولكنه تناول كذلك موضوعات ختلفة مثل تفسير الأحلام والفلاحة،
ودافع في كثير منها عن رقص المولوية وسماع الموسيقى.	ودافع في كشير منها عن رقص المولوية وسماع الموسيق
وخالف الفقهاء الذين أصدروا فتاوى في تحريم الحب، والنظر الحلال،	والف الفقهاع اللين أصدروا فتاوى في نحريم الح، والتظطلر الحلال
وشرب القهوة والدخان، وتكفير الناس بدون حجة واضحة	وشرب القهوة والدخحان، وتكفير الناس بدون حجة واضحة
كما دافع عن الطرق الصوفية والتصوف بكل جرأة بعد أن بلغ مرتبة	كما دافع عن الطروقى الصوفية والتصوف بكل جراة بعد أن بلع مرتبة
إن شاء الله تعالى، يؤخذ من ورق الطباقو الطري ويدق في جرن رخامٍ، ويعصر،	ان شاه اله تعالى يوخذ من ورق الطباقو الطري ويدق في جرن رخحام، ويعصر
وتمسح الرقبة بهذه العصارة مسخنة كما ينبغي، وبعد المسح يضمد بورق الطباقو	وتسح الرقبة بهذه العصارة مسخنة كا ينبي. وبعد المسح يضتد بورف الطباقو
(1) كذا الأصل في (أ).	(1) كذا الأصل في ا).
51/م -	51) م
من دخانه أيضًا مرتين في الأسبوع ليخرج البلاغم من الفم.	من دخحانه ايفضا مرتين في الأسبوع ليخرج البلاغم من الفم.
أقول: ينبغي قبل أن يستعمل العليل من شراب الزوفا المدبر سبعة أيام	اقول : ينبنمي قبل أن يستعمل العليل من شراب الزوفا امدبر سبمعة أيام
لينضج المادة، وبعد الإنضاج يستعمل من لعوق الخيار شنبر مع الفاريقون	لينضج المادة وبعد الانضاج يستصل من لعوق الخيار شنبر مع الفاريقودن
ودهن اللوز مقدار ما يحتاج حيث ما يراه الطبيب، إذ هذه الأمراض محتاجة	ودهن الوز مقدار ما يجتاج حيث ما يراه الطبيب، إذ هذه الأمراض محتاجة
للإنضاج القوي.	لانضاج القوي.
قال المؤلف: إنه ينفع من أوجاع المعدة الريحية الحادثة عن البرد، بتضميد المعدة	قال المولف: إنه ينفع من اوجاع المعدة الريجية احادثة عن البرد بتضميد المعدة
التي يسببها برد مكثف، أو سوداء غليظة، أو مداخلة بين أجزائها وتشبه الورم.	العي يسبها برد مكتف، أو سوداء غليظة، او مداخحلة بين أجزأها وتشبه الورم.
المسخن في الرماد، وكما مر ذكره يعمل هكذا مرةً أو مرتين حيث ما يحتاج.	المسخن في الرماده وكما مر دكره يعمل هكذا مرة او مر تين حيث ما يجحتاج.
قال المؤلف: إني جربت هذا الدواء مرارًا كثيرة في أمراض الصدر المزمنة	قال المولف : إني جربنت هذا الدواء مرارا كشيرة في أمراض الصدر المزمنة
التي سببها بلغمٌ فوجدتها نافعة نفعًا بليغًا، فإنها تشفي من ضيق النفس المزمن،	التي سبها بلغم فوجدتها نافعة نفعا بليغا، فانها تشفي من ضيق النفس المزرمن
وتنفع لمن له سعالٌ قديمٌ، يخرج من فمه بلغمٌ عفنٌ مثل القيح، فإن هذا النبات	ونفيم من له سعأ قديم يخرج من فمه بلفم عفن مثل القح فإن هذا انبات
ينقي الصدر من الفضول الغليظة الفاسدة إن شاء الله تعالى.	ينقي الصدر من الفضول الغليظة الفاسدة إن شاء اله تعالى.
يؤخذ من الطباقو الطري عشرة أوراق(1) من الكبار، وتطبخ في رطلين(1) ماء	يوخذ من الطباقو الطري عشرة أوراق ) من الكبار وتطخ في رطلينا) ماءه
لسان الثور حتى يبقى النصف، ويصفى على رطلين من السكر الأبيض، ويقوم	لسان الثور حتى يبقى النصف ريصفى عل رطلين من السكر الأبيض، ويقوم
شرابًا، ويستعمل بكرةً وعشية عشرة دراهم بماء لسان الثور فاترًا. ويستعمل	شرابا، ويستعمل بكرة وعشية عشرة دراهم باء لسان الثور فاترا. ويستعمل
يؤخذ من الطباقو الطري ويدق دقا جيدًا، ويصب عليه حين الدق قطرة أو	يوخل من الطباقو الطري ويدق دقا جيا، ويصب عليه حين الدق قطرة او
قطرتين من خل خمرٍ حاذق، ويؤخذ من تلك العصارة، وتسخن إسخانًا جيدًا،	قطرتين من خحل خر حاذق، ويوخذ من تلك العصارة وتسخن اسخانا جيدا
أقول: يجب أن يعمل قبل هذا حقنة أو حقنتين حيث يراه الطبيب.	اقول : يجب أن يعمل قبل هذا حقنة أو حقتين حيث يراه الطبيب.
- 52/ م -	2 5) م 
قال المؤلف: إني رأيت عجائز الهند يعالجن التخمة التي تعرض للصبيان مع	قال المولف ان رايت عجايتز المند يعالجن التخمة التي تعرضص لصبيان مع
قبض وتشبيه الصرع، فإنهن كن يمسحن بطن الصبي وظهره بدهن القنديل	تبض ورتشبيه الصرع، فلأبن كن دمسحن بطن الصي وظهره بدهن القنلديل
- أعني الباقي في القنديل من الليل - وبعد المسح بالدهن يضمدن بطنه وظهره	-أعني الباقي في القنلديل من اليل  وبعد المسح بالدهن يضمدن بطنه وضهره
بأوراق الطباقو الطري، وكان هذا العلاج بعد ساعتين يسهل الصبي مرة أو	باوراق الطاقو الطري، وكان هذا العلاج بعد ساعتين يسهل الصعي مرة او
مرتين، فيبرأ برأً تامًا، فجربته مرارًا كثيرة، وهو عظيم النفع.	مرتين، فيبرأبرأتأا، فجربته مرارا كثيرة وهو عظيمالنفع.
ثم قال: إنه ينفع من الديدان وحب القرع، يؤخذ من ورق الطباقو الطري	ثم قال : إنه ينفع من الديدان وحب القرع يوخلد من ورق الطباقو الطري
خمسة عشر ورقة(1)، وتطبخ تلك الأوراق في ثلاثة أرطالٍ من الماء حتى يبقى	غسة عشر ورقة ا)، وتطبخ تلك الأوراق في ثلاثة ارطالي من الماء حتى يقى
